question,context,company,source_file,source_page,kpi_id,year,answer,data_type,relevant_paragraphs,annotator,Index,label
What is the base year for carbon reduction commitment?,"2017 was another year of progress for Aker BP. The financial and operational performance was strong, and the oil and gas reserves increased significantly driven by both organic growth and acquisitions. Moreover, the company’s improvement program is showing tangible results. In sum, Aker BP is well positioned to deliver profitable growth and increasing shareholder value in the future. ",Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],9.0,2017,2020,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,390,0
What is the base year for carbon reduction commitment?,"To support the Paris climate agreement of the 2C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.",Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],9.0,2017,2020,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,390,1
What is the climate commitment scenario considered?,"Modern technology contributes to maximum efficiency in operation of the Ivar Aasen field. The organisation on board the platform is closely integrated with the onshore organisation via modern communication solutions. An operations centre in Trondheim gives maintenance and engineering support, and expert analysis is based on the same condition monitoring data seen in the offshore control room. The functions monitored include electrical and rotating equipment, valves, process control, automation, instruments, telecom and safety. ",Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],10.0,2017,2°C limit,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,391,0
What is the climate commitment scenario considered?,"To support the Paris climate agreement of the 2C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.",Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],10.0,2017,2°C limit,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,391,1
What is the target year for climate commitment?,Because: We do not control oil and gas prices. The competitive situation in Norway is getting tougher. Digitalisation is changing our industry.,Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],11.0,2017,2030,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,392,0
What is the target year for climate commitment?,"To support the Paris climate agreement of the 2C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.",Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],11.0,2017,2030,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,392,1
What is the target carbon reduction in percentage?,BOARD OF DIRECTORS’ REPORT 39,Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],12.0,2017,140 000 tons per year,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,393,0
What is the target carbon reduction in percentage?,"To support the Paris climate agreement of the 2C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.",Aker BP,AKERBP-Annual-Report-2017.pdf,['36'],12.0,2017,140 000 tons per year,TEXT,"[""To support the Paris climate agreement of the 2°C limit and the KonKraft initiative (CO2 reduction target for the Norwegian Petroleum Industry), Aker BP has committed to reduce CO2 emissions by 140 000 tons per year from 2020 to 2030. An energy forum has been established to follow up the company's part of the KonKraft initiative. The company's goal is to minimize emissions from its activities on the NCS through the choice of energy efficient solutions and operations. New projects need to perform feasibility studies for power from shore or power transmission. In cases where new energy intensive equipment is purchased, the equipment must be as energy efficient as possible and be of low-emission technology. Aker BP also strives to reduce the amount of waste from its operations.""]",train_anno_large.xlsx,393,1
What is the company name?,"Ethics and Integrity Aker BP’s values are Enquiring (Skende), Responsible (Ansvarlig), Predictable (Forutsig- bar), Committed (Engasjert) and Respectful (Respektfull). The Norwegian words make out the abbreviation SAFER. The values define the company culture and describe how we want to work in Aker BP. The values also guide our behaviour in the workplace and enable us to live by our Code of Conduct. Our goal is that every employee habitually acts according to our core values. ",Aker BP,Aker-BP-Annual-report-2018.pdf,['0'],0.0,2018,Aker BP,TEXT,"[""Aker BP""]",train_anno_large.xlsx,343,0
In which year was the annual report or the sustainability report published?, 2018 HIGHLIGHTS Operational performance in 2018 was strong. We delivered record-high production. Our net production for the full year was 155.7 thousand boepd (barrels of oil equivalents per day) — up more than 12 % compared to 2017. ,Aker BP,Aker-BP-Annual-report-2018.pdf,['0'],1.0,2018,2018,TEXT,"[""ANNUAL REPORT 2018""]",train_anno_large.xlsx,344,0
What is the total volume of proven and probable hydrocarbons reserves?,"A programme for further infill drilling, targeting the Lower Hod formation through the IP drilling rig, will also be sanctioned.",Aker BP,Aker-BP-Annual-report-2018.pdf,['126'],2.0,2018,917 million barrels of oil equivalents,TEXT,"[""Total net proven reserves (1P/P90) as of 31 December 2018 to Aker BP ASA are estimated at 683 million barrels of oil equivalents. Total net proven plus probable reserves (2P/P50) are estimated at 917 million barrels of oil equivalents. The split between liquid and gas and between the different subcategories are given in tables 3 and 4.""]",train_anno_large.xlsx,345,0
What is the total volume of proven and probable hydrocarbons reserves?,10.000 % 2.000 % 3.300 % 11.573 % 15.000 % 0.000 %,Aker BP,Aker-BP-Annual-report-2018.pdf,['53'],2.0,2018,917 (914) mmboe,TEXT,"[""Aker BP complies with guidelines from Oslo Stock Exchange and the Society of Petroleum Engineers""™ (SPE) classification system for quantification of petroleum reserves and contingent resources. Total net P90/1P reserves are estimated at 683 (692) mmboe, while net P50/2P reserves amounted to 917 (914) mmboe at year-end 2018. See Note 29 for a more detailed review of the resource accounts. The reserves have been certified by an independent third party.""]",train_anno_large.xlsx,347,0
What is the total volume of proven and probable hydrocarbons reserves?,"Safe and reliable operations are the foundation on which we stand. At the heart of our activities and success is the dedicated Aker BP team. It is a powerful team ready to drive improvements, increase efficiency and boost productivity — a team I am honoured and proud to lead!",Aker BP,Aker-BP-Annual-report-2018.pdf,['53'],2.0,2017,914 mmboe,TEXT,"[""Aker BP complies with guidelines from Oslo Stock Exchange and the Society of Petroleum Engineers""™ (SPE) classification system for quantification of petroleum reserves and contingent resources. Total net P90/1P reserves are estimated at 683 (692) mmboe, while net P50/2P reserves amounted to 917 (914) mmboe at year-end 2018. See Note 29 for a more detailed review of the resource accounts. The reserves have been certified by an independent third party.""]",train_anno_large.xlsx,348,0
What is the total volume of proven and probable hydrocarbons reserves?,It is the view of the committee that cooperation between the auditor and executive management is good. The Audit and Risk Committee has worked together with executive management and the auditor to improve the internal control environment according to the COSO (Committee of Sponsoring Organizations of the Treadway Commission) framework over the last 3 years. ,Aker BP,Aker-BP-Annual-report-2018.pdf,['7'],2.0,2018,917 mmboe (million barrels of oil equivalents),TEXT,"[""Aker BP significantly increased reserves and resources in 2018. Our 2P reserves rose to 917 mmboe (million barrels of oil equivalents) from 914 mmboe, thus, we replaced more barrels than we produced during the year. Moreover, our 2C contingent resources grew by 23 % to 946 mmboe due to exploration success and business development.""]",train_anno_large.xlsx,357,0
What is the total volume of proven and probable hydrocarbons reserves?,RUMPETROLLExploration prospect,Aker BP,Aker-BP-Annual-report-2018.pdf,['7'],2.0,2017,914 mmboe,TEXT,"[""Aker BP significantly increased reserves and resources in 2018. Our 2P reserves rose to 917 mmboe (million barrels of oil equivalents) from 914 mmboe, thus, we replaced more barrels than we produced during the year. Moreover, our 2C contingent resources grew by 23 % to 946 mmboe due to exploration success and business development.""]",train_anno_large.xlsx,358,0
What is the total volume of proven and probable hydrocarbons reserves?,"Aker BP considers the resource potential in the Ula area to be significant, both from increased oil recovery in the Ula and Tambar fields, from potential tie-backs of other discoveries including the King Lear discovery acquired in 2018, and from exploration op- portunities. To unlock this upside potential, the first step in the Ula strategy is to improve the technical condition and extend the expected life of the facilities to ensure stable performance. In parallel, the company is working diligently to mature the opportunity set, which is a complex process involving a broad set of technical and commercial disciplines. This could eventually lead to the addition of a new platform at Ula in the mid-2020s.",Aker BP,Aker-BP-Annual-report-2018.pdf,['45'],2.0,2018,917 (914) mmboe,TEXT,"[""Aker BP's 2P reserves increased to 917 (914) mmboe, as the total additions and revisions exceeded the year's production The company also made two significant acquisitions in 2018, adding 173 mmboe to its 2C contingent resource base. In total, contingent resources grew by 23 percent to 946 mmboe..""]",train_anno_large.xlsx,359,0
What is the total volume of proven and probable hydrocarbons reserves?,Alexander Krane (Chief Financial Officer) Gro G. Haatvedt (SVP Exploration) 2),Aker BP,Aker-BP-Annual-report-2018.pdf,['45'],2.0,2017,914 mmboe,TEXT,"[""Aker BP's 2P reserves increased to 917 (914) mmboe, as the total additions and revisions exceeded the year's production The company also made two significant acquisitions in 2018, adding 173 mmboe to its 2C contingent resource base. In total, contingent resources grew by 23 percent to 946 mmboe..""]",train_anno_large.xlsx,360,0
What is the total volume of proven and probable hydrocarbons reserves?,Total net proven reserves (1P/P90) as of 31 December 2018 to Aker BP ASA are estimated at 683 million barrels of oil equivalents. Total net proven plus probable reserves (2P/P50) are estimated at 917 million barrels of oil equivalents. The split between liquid and gas and between the different subcategories are given in tables 3 and 4.,Aker BP,Aker-BP-Annual-report-2018.pdf,['126'],2.0,2018,917 million barrels of oil equivalents,TEXT,"[""Total net proven reserves (1P/P90) as of 31 December 2018 to Aker BP ASA are estimated at 683 million barrels of oil equivalents. Total net proven plus probable reserves (2P/P50) are estimated at 917 million barrels of oil equivalents. The split between liquid and gas and between the different subcategories are given in tables 3 and 4.""]",train_anno_large.xlsx,345,1
What is the total volume of proven and probable hydrocarbons reserves?,"Aker BP significantly increased reserves and resources in 2018. Our 2P reserves rose to 917 mmboe (million barrels of oil equivalents) from 914 mmboe, thus, we replaced more barrels than we produced during the year. Moreover, our 2C contingent resources grew by 23 % to 946 mmboe due to exploration success and business development.",Aker BP,Aker-BP-Annual-report-2018.pdf,['7'],2.0,2018,917 mmboe (million barrels of oil equivalents),TEXT,"[""Aker BP significantly increased reserves and resources in 2018. Our 2P reserves rose to 917 mmboe (million barrels of oil equivalents) from 914 mmboe, thus, we replaced more barrels than we produced during the year. Moreover, our 2C contingent resources grew by 23 % to 946 mmboe due to exploration success and business development.""]",train_anno_large.xlsx,357,1
What is the total volume of proven and probable hydrocarbons reserves?,"Aker BP significantly increased reserves and resources in 2018. Our 2P reserves rose to 917 mmboe (million barrels of oil equivalents) from 914 mmboe, thus, we replaced more barrels than we produced during the year. Moreover, our 2C contingent resources grew by 23 % to 946 mmboe due to exploration success and business development.",Aker BP,Aker-BP-Annual-report-2018.pdf,['7'],2.0,2017,914 mmboe,TEXT,"[""Aker BP significantly increased reserves and resources in 2018. Our 2P reserves rose to 917 mmboe (million barrels of oil equivalents) from 914 mmboe, thus, we replaced more barrels than we produced during the year. Moreover, our 2C contingent resources grew by 23 % to 946 mmboe due to exploration success and business development.""]",train_anno_large.xlsx,358,1
What is the total volume of proven and probable hydrocarbons reserves?,"Aker BP's 2P reserves increased to 917 (914) mmboe, as the total additions and revisions exceeded the year's production The company also made two significant acquisitions in 2018, adding 173 mmboe to its 2C contingent resource base. In total, contingent resources grew by 23 percent to 946 mmboe..",Aker BP,Aker-BP-Annual-report-2018.pdf,['45'],2.0,2018,917 (914) mmboe,TEXT,"[""Aker BP's 2P reserves increased to 917 (914) mmboe, as the total additions and revisions exceeded the year's production The company also made two significant acquisitions in 2018, adding 173 mmboe to its 2C contingent resource base. In total, contingent resources grew by 23 percent to 946 mmboe..""]",train_anno_large.xlsx,359,1
What is the total volume of proven and probable hydrocarbons reserves?,"Aker BP's 2P reserves increased to 917 (914) mmboe, as the total additions and revisions exceeded the year's production The company also made two significant acquisitions in 2018, adding 173 mmboe to its 2C contingent resource base. In total, contingent resources grew by 23 percent to 946 mmboe..",Aker BP,Aker-BP-Annual-report-2018.pdf,['45'],2.0,2017,914 mmboe,TEXT,"[""Aker BP's 2P reserves increased to 917 (914) mmboe, as the total additions and revisions exceeded the year's production The company also made two significant acquisitions in 2018, adding 173 mmboe to its 2C contingent resource base. In total, contingent resources grew by 23 percent to 946 mmboe..""]",train_anno_large.xlsx,360,1
What is the volume of estimated proven hydrocarbons reserves?,-1 307 148 -526 933 - 33 912 -30 -1 800 199,Aker BP,Aker-BP-Annual-report-2018.pdf,['126'],2.1,2018,683 million barrels of oil equivalents,TEXT,"[""Total net proven reserves (1P/P90) as of 31 December 2018 to Aker BP ASA are estimated at 683 million barrels of oil equivalents. Total net proven plus probable reserves (2P/P50) are estimated at 917 million barrels of oil equivalents. The split between liquid and gas and between the different subcategories are given in tables 3 and 4.""]",train_anno_large.xlsx,346,0
What is the volume of estimated proven hydrocarbons reserves?,"• Sizeable projects with momentum, dedicated people, with significant impact potential",Aker BP,Aker-BP-Annual-report-2018.pdf,['53'],2.1,2018,683 (692) mmboe,TEXT,"[""Aker BP complies with guidelines from Oslo Stock Exchange and the Society of Petroleum Engineers""™ (SPE) classification system for quantification of petroleum reserves and contingent resources. Total net P90/1P reserves are estimated at 683 (692) mmboe, while net P50/2P reserves amounted to 917 (914) mmboe at year-end 2018. See Note 29 for a more detailed review of the resource accounts. The reserves have been certified by an independent third party.""]",train_anno_large.xlsx,349,0
What is the volume of estimated proven hydrocarbons reserves?,* Fee to board members are paid in NOK and converted to USD using a yearly average USD/NOK-rate at 8.263.,Aker BP,Aker-BP-Annual-report-2018.pdf,['53'],2.1,2017,692 mmboe,TEXT,"[""Aker BP complies with guidelines from Oslo Stock Exchange and the Society of Petroleum Engineers""™ (SPE) classification system for quantification of petroleum reserves and contingent resources. Total net P90/1P reserves are estimated at 683 (692) mmboe, while net P50/2P reserves amounted to 917 (914) mmboe at year-end 2018. See Note 29 for a more detailed review of the resource accounts. The reserves have been certified by an independent third party.""]",train_anno_large.xlsx,350,0
What is the volume of estimated proven hydrocarbons reserves?,Total net proven reserves (1P/P90) as of 31 December 2018 to Aker BP ASA are estimated at 683 million barrels of oil equivalents. Total net proven plus probable reserves (2P/P50) are estimated at 917 million barrels of oil equivalents. The split between liquid and gas and between the different subcategories are given in tables 3 and 4.,Aker BP,Aker-BP-Annual-report-2018.pdf,['126'],2.1,2018,683 million barrels of oil equivalents,TEXT,"[""Total net proven reserves (1P/P90) as of 31 December 2018 to Aker BP ASA are estimated at 683 million barrels of oil equivalents. Total net proven plus probable reserves (2P/P50) are estimated at 917 million barrels of oil equivalents. The split between liquid and gas and between the different subcategories are given in tables 3 and 4.""]",train_anno_large.xlsx,346,1
What is the total volume of hydrocarbons production?,-351 156 -801 818 2 809 606 082 -30 269 33 492 -540 860 11 082 -551 942,Aker BP,Aker-BP-Annual-report-2018.pdf,['6'],3.0,2018,155.7 thousand boepd,TEXT,"[""Operational performance in 2018 was strong. We delivered record-high production. Our net production for the full year was 155.7 thousand boepd (barrels of oil equivalents per day) ""” up more than 12 % compared to 2017.""]",train_anno_large.xlsx,361,0
What is the total volume of hydrocarbons production?,Revenue is presented net of customs and excise taxes on petroleum products. ,Aker BP,Aker-BP-Annual-report-2018.pdf,['45'],3.0,2018,155.7 thousand barrels of oil equivalents per day,TEXT,"[""Aker BP's net production in 2018 was 155.7 thousand barrels of oil equivalents per day (Â«mboepdÂ»). Total net production volume was 56.8 million barrels of oil equivalents (Â«boeÂ»). About 99 % of the production came from the five operated production hubs, The Alvheim area, Ivar Aasen, the Valhall area, Skarv and the Ula area.""]",train_anno_large.xlsx,362,0
What is the total volume of hydrocarbons production?,Production costs for 2018 amounted to USD 12 per boe (barrel of oil equivalent). Total production volume was 56.8 million boe. The two main contributors to performance im- provement were greater efficiency and new wells. Production efficiency was high across our assets — and we succeeded in delivering stable production despite ongoing modification work at all our producing assets.,Aker BP,Aker-BP-Annual-report-2018.pdf,['46'],3.0,2018,155.7 mboepd,TEXT,"[""Production in 2018 averaged 155.7 mboepd. Approximately 79 % of the production was liquids and 21 % was gas.""]",train_anno_large.xlsx,363,0
What is the total volume of hydrocarbons production?,Operational performance in 2018 was strong. We delivered record-high production. Our net production for the full year was 155.7 thousand boepd (barrels of oil equivalents per day)  up more than 12 % compared to 2017.,Aker BP,Aker-BP-Annual-report-2018.pdf,['6'],3.0,2018,155.7 thousand boepd,TEXT,"[""Operational performance in 2018 was strong. We delivered record-high production. Our net production for the full year was 155.7 thousand boepd (barrels of oil equivalents per day) ""” up more than 12 % compared to 2017.""]",train_anno_large.xlsx,361,1
What is the total volume of hydrocarbons production?,"Aker BP's net production in 2018 was 155.7 thousand barrels of oil equivalents per day (mboepd). Total net production volume was 56.8 million barrels of oil equivalents (boe). About 99 % of the production came from the five operated production hubs, The Alvheim area, Ivar Aasen, the Valhall area, Skarv and the Ula area.",Aker BP,Aker-BP-Annual-report-2018.pdf,['45'],3.0,2018,155.7 thousand barrels of oil equivalents per day,TEXT,"[""Aker BP's net production in 2018 was 155.7 thousand barrels of oil equivalents per day (Â«mboepdÂ»). Total net production volume was 56.8 million barrels of oil equivalents (Â«boeÂ»). About 99 % of the production came from the five operated production hubs, The Alvheim area, Ivar Aasen, the Valhall area, Skarv and the Ula area.""]",train_anno_large.xlsx,362,1
What is the total volume of hydrocarbons production?,Production in 2018 averaged 155.7 mboepd. Approximately 79 % of the production was liquids and 21 % was gas. ,Aker BP,Aker-BP-Annual-report-2018.pdf,['46'],3.0,2018,155.7 mboepd,TEXT,"[""Production in 2018 averaged 155.7 mboepd. Approximately 79 % of the production was liquids and 21 % was gas.""]",train_anno_large.xlsx,363,1
What is the company name?,G4-SO1 G4-SO2 G4-OG10 G4-OG11 G4-SO3 G4-SO4 G4-SO5 G4-SO6,Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['0'],0.0,2018,Aker BP,TEXT,"[""Aker BP""]",train_anno_large.xlsx,428,0
What is the company name?,Aker BP,Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['0'],0.0,2018,Aker BP,TEXT,"[""Aker BP""]",train_anno_large.xlsx,428,1
In which year was the annual report or the sustainability report published?,"This has also been tested for a scenario with 45 USD/bbl (2018 real terms). Aker BP would remain a highly profitable company, though with less tail-end production. ",Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['0'],1.0,2018,2018,TEXT,"[""SUSTAINABILITY REPORT 2018""]",train_anno_large.xlsx,429,0
In which year was the annual report or the sustainability report published?,SUSTAINABILITY REPORT 2018,Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['0'],1.0,2018,2018,TEXT,"[""SUSTAINABILITY REPORT 2018""]",train_anno_large.xlsx,429,1
What is the total volume of proven and probable hydrocarbons reserves?,Significant fines and non-monetary sanctions for non-compliance with Laws and regulations,Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['24'],2.0,2018,917 million barrels of oil equivalents,TEXT,"[""In 2018 we produced around 57 million barrels of oil equivalent, of which 78.7 % were oil and NGL. The petroleum revenues were 3 711 USD million. 2P reserves at year-end 2018 are estimated to be 917 million barrels of oil equivalents, of which 83 % are liquids. In addition, our 2C contingent resources were 946 million barrels of oil equivalents, of which 73 % are liquids. For more detailed financial and economic information, please refer to Aker BP's Annual Report 2018.""]",train_anno_large.xlsx,430,0
What is the total volume of proven and probable hydrocarbons reserves?,"In 2018 we produced around 57 million barrels of oil equivalent, of which 78.7 % were oil and NGL. The petroleum revenues were 3 711 USD million. 2P reserves at year-end 2018 are estimated to be 917 million barrels of oil equivalents, of which 83 % are liquids. In addition, our 2C contingent resources were 946 million barrels of oil equivalents, of which 73 % are liquids. For more detailed financial and economic information, please refer to Aker BP's Annual Report 2018.",Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['24'],2.0,2018,917 million barrels of oil equivalents,TEXT,"[""In 2018 we produced around 57 million barrels of oil equivalent, of which 78.7 % were oil and NGL. The petroleum revenues were 3 711 USD million. 2P reserves at year-end 2018 are estimated to be 917 million barrels of oil equivalents, of which 83 % are liquids. In addition, our 2C contingent resources were 946 million barrels of oil equivalents, of which 73 % are liquids. For more detailed financial and economic information, please refer to Aker BP's Annual Report 2018.""]",train_anno_large.xlsx,430,1
What is the total volume of hydrocarbons production?,"During 2018, Aker BP had three HSSE incidents with high po- tential – two involving dropped objects that resulted in material damage and one incident during testing of the walkway from a vessel to the Tambar platform (Walk to Work). The walkway missed the landing point, and hit and broke the handrail, cable trays and lighting fixtures. No personnel were injured. Learnings from the incident are implemented in the ongoing Walk to Work project on Valhall Flank West.",Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['24'],3.0,2018,57 million barrels of oil equivalent,TEXT,"[""In 2018 we produced around 57 million barrels of oil equivalent, of which 78.7 % were oil and NGL. The petroleum revenues were 3 711 USD million. 2P reserves at year-end 2018 are estimated to be 917 million barrels of oil equivalents, of which 83 % are liquids. In addition, our 2C contingent resources were 946 million barrels of oil equivalents, of which 73 % are liquids. For more detailed financial and economic information, please refer to Aker BP's Annual Report 2018.""]",train_anno_large.xlsx,431,0
What is the total volume of hydrocarbons production?,"In 2018 we produced around 57 million barrels of oil equivalent, of which 78.7 % were oil and NGL. The petroleum revenues were 3 711 USD million. 2P reserves at year-end 2018 are estimated to be 917 million barrels of oil equivalents, of which 83 % are liquids. In addition, our 2C contingent resources were 946 million barrels of oil equivalents, of which 73 % are liquids. For more detailed financial and economic information, please refer to Aker BP's Annual Report 2018.",Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['24'],3.0,2018,57 million barrels of oil equivalent,TEXT,"[""In 2018 we produced around 57 million barrels of oil equivalent, of which 78.7 % were oil and NGL. The petroleum revenues were 3 711 USD million. 2P reserves at year-end 2018 are estimated to be 917 million barrels of oil equivalents, of which 83 % are liquids. In addition, our 2C contingent resources were 946 million barrels of oil equivalents, of which 73 % are liquids. For more detailed financial and economic information, please refer to Aker BP's Annual Report 2018.""]",train_anno_large.xlsx,431,1
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,CORPORATE CITIZENSHIP INDICATORS,Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['16'],6.0,2018,891 350 tonnes CO2e,TEXT,"[""Aker BP is committed to reducing CO2 emissions corresponding to our share of the KonKraft obligations in support of the Paris climate agreement. All our operations are located in Norway and have scope 1 and scope 2 emissions. Scope 3 emissions are partly estimated. Direct greenhouse gas (GHG) emissions (scope 1) were 891 350 tonnes CO2e in 2018 compared to 913 796 tonnes CO2e in 2017. Indirect GHG emissions (scope 2) increased from 126 180 tonnes CO2e in 2017 to 159 391 tonnes CO2 e in 2018, mainly due to increased sea water injection. GHG emissions include carbon dioxide (CO2) and methane (CH4). Emissions of NOx and SOX increased with 13 % and 11 % respectively, mainly due to increased drilling activity in 2018.""]",train_anno_large.xlsx,432,0
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,Occupational Health and Safety,Aker BP,Aker-BP-Sustainability-Report-2018-1.pdf,['16'],6.0,2017,913 796 tonnes CO2e,TEXT,"[""Aker BP is committed to reducing CO2 emissions corresponding to our share of the KonKraft obligations in support of the Paris climate agreement. All our operations are located in Norway and have scope 1 and scope 2 emissions. Scope 3 emissions are partly estimated. Direct greenhouse gas (GHG) emissions (scope 1) were 891 350 tonnes CO2e in 2018 compared to 913 796 tonnes CO2e in 2017. Indirect GHG emissions (scope 2) increased from 126 180 tonnes CO2e in 2017 to 159 391 tonnes CO2 e in 2018, mainly due to increased sea water injection. GHG emissions include carbon dioxide (CO2) and methane (CH4). Emissions of NOx and SOX increased with 13 % and 11 % respectively, mainly due to increased drilling activity in 2018.""]",train_anno_large.xlsx,433,0
